GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DevSync Backend,com.devsync.activity.entity,ActivityType,0,171,0,0,0,9,0,1,0,1
DevSync Backend,com.devsync.project,ProjectController,100,0,0,0,17,0,11,0,11,0
DevSync Backend,com.devsync.project,ProjectService,742,375,90,26,127,77,73,15,20,10
DevSync Backend,com.devsync.collab,JoinRequestService,144,423,21,27,17,93,24,17,7,10
DevSync Backend,com.devsync.collab,InvitationService,276,453,39,41,47,93,41,21,10,12
DevSync Backend,com.devsync.collab,JoinRequestController,35,0,0,0,6,0,4,0,4,0
DevSync Backend,com.devsync.collab,InvitationController,50,0,0,0,8,0,6,0,6,0
DevSync Backend,com.devsync.audit,AuditLogService,151,562,58,36,26,119,41,29,0,22
DevSync Backend,com.devsync.collab.entity,InvitationStatus,0,27,0,0,0,2,0,1,0,1
DevSync Backend,com.devsync.collab.entity,JoinRequestStatus,0,21,0,0,0,2,0,1,0,1
DevSync Backend,com.devsync.message,MessageService,389,178,51,13,75,46,39,9,10,6
DevSync Backend,com.devsync.message,WebSocketController,83,0,8,0,20,0,7,0,3,0
DevSync Backend,com.devsync.message,MessageController,32,0,0,0,4,0,4,0,4,0
DevSync Backend,com.devsync.notification,NotificationService,58,78,2,0,13,16,6,2,5,2
DevSync Backend,com.devsync.notification,NotificationController,35,0,0,0,6,0,4,0,4,0
DevSync Backend,com.devsync.pinned,PinnedProjectController,24,0,0,0,4,0,3,0,3,0
DevSync Backend,com.devsync.pinned,PinnedProjectService,71,129,5,11,8,25,10,8,5,5
DevSync Backend,com.devsync.bookmark,BookmarkService,225,219,25,10,36,42,29,17,13,14
DevSync Backend,com.devsync.bookmark,BookmarkController,49,0,0,0,9,0,5,0,5,0
DevSync Backend,com.devsync.project.entity,Project.ProjectVisibility,0,15,0,0,0,2,0,1,0,1
DevSync Backend,com.devsync.project.entity,ProjectMember.Role,0,27,0,0,0,2,0,1,0,1
DevSync Backend,com.devsync.project.entity,Project.ProjectStatus,0,21,0,0,0,2,0,1,0,1
DevSync Backend,com.devsync.teamroom,TeamRoomController,40,0,0,0,5,0,5,0,5,0
DevSync Backend,com.devsync.teamroom,TeamRoomService,168,98,10,6,32,21,12,7,6,5
DevSync Backend,com.devsync.activity,ActivityService,17,499,11,21,1,104,11,23,0,18
DevSync Backend,com.devsync.activity,ActivityController,16,0,0,0,2,0,2,0,2,0
DevSync Backend,com.devsync.auth,AuthService,37,414,2,22,6,92,6,19,4,9
DevSync Backend,com.devsync.auth,RateLimitingFilter.RateLimitEntry,0,9,0,0,0,4,0,1,0,1
DevSync Backend,com.devsync.auth,EmailService,46,0,0,0,14,0,2,0,2,0
DevSync Backend,com.devsync.auth,JwtAuthenticationFilter,0,69,0,10,0,17,0,7,0,2
DevSync Backend,com.devsync.auth,OtpService.OtpRateLimit,0,9,0,0,0,4,0,1,0,1
DevSync Backend,com.devsync.auth,JwtTokenProvider,0,136,0,0,0,45,0,8,0,8
DevSync Backend,com.devsync.auth,AuthController,15,31,0,0,3,6,2,5,2,5
DevSync Backend,com.devsync.auth,AuthException,0,14,0,0,0,6,0,2,0,2
DevSync Backend,com.devsync.auth,UserDetailsServiceImpl,6,50,0,4,0,12,1,3,1,1
DevSync Backend,com.devsync.auth,OtpService.OtpEntry,0,9,0,0,0,4,0,1,0,1
DevSync Backend,com.devsync.auth,OtpService,21,128,4,14,3,24,4,7,0,2
DevSync Backend,com.devsync.auth,RateLimitingFilter,42,57,9,5,9,16,6,5,0,4
DevSync Backend,com.devsync.feed,FeedController,86,0,0,0,15,0,7,0,7,0
DevSync Backend,com.devsync.feed,FeedService,29,598,8,24,0,88,8,35,0,27
DevSync Backend,com.devsync.admin,AdminController,78,202,1,1,13,28,7,20,6,20
DevSync Backend,com.devsync.admin,AdminService,332,2025,75,113,70,451,78,98,13,66
DevSync Backend,com.devsync.analytics,AnalyticsController,14,5,0,0,2,1,2,1,2,1
DevSync Backend,com.devsync.analytics,AnalyticsService,37,718,17,47,2,130,16,34,1,17
DevSync Backend,com.devsync.user,UserService,188,116,32,4,33,31,24,5,8,3
DevSync Backend,com.devsync.user,UserController,46,8,2,0,6,1,6,1,5,1
DevSync Backend,com.devsync.kanban,BoardService,523,460,63,37,80,87,60,24,20,14
DevSync Backend,com.devsync.kanban,BoardController,123,0,2,0,22,0,13,0,12,0
DevSync Backend,com.devsync.presence,PresenceService,25,89,6,12,5,19,6,8,1,4
DevSync Backend,com.devsync.presence,PresenceStatus,0,21,0,0,0,2,0,1,0,1
DevSync Backend,com.devsync.presence,PresenceEventListener,136,4,24,0,32,1,16,1,4,1
DevSync Backend,com.devsync.presence,PresenceSessionTracker,10,79,6,12,2,18,7,8,1,5
DevSync Backend,com.devsync.presence,PresenceController,20,0,0,0,4,0,2,0,2,0
DevSync Backend,com.devsync.audit.entity,AuditAction,0,123,0,0,0,21,0,1,0,1
DevSync Backend,com.devsync.audit.entity,AuditStatus,0,15,0,0,0,2,0,1,0,1
DevSync Backend,com.devsync.kanban.entity,Task.Priority,0,27,0,0,0,2,0,1,0,1
DevSync Backend,com.devsync.admin.dto,UserStatus,0,21,0,0,0,2,0,1,0,1
DevSync Backend,com.devsync.config,WebSocketConfig,0,59,0,0,0,12,0,3,0,3
DevSync Backend,com.devsync.config,OpenApiConfig,0,62,0,0,0,23,0,2,0,2
DevSync Backend,com.devsync.config,DataInitializer,1,153,4,22,0,46,4,15,0,6
DevSync Backend,com.devsync.config,SecurityConfig,0,168,0,0,0,29,0,12,0,12
DevSync Backend,com.devsync.config,AdminProperties,0,12,0,0,0,4,0,1,0,1
DevSync Backend,com.devsync.config,WebConfig,0,30,0,0,0,4,0,2,0,2
DevSync Backend,com.devsync.config,CorsConfig,0,48,0,0,0,10,0,2,0,2
DevSync Backend,com.devsync.config,JpaConfig,0,3,0,0,0,1,0,1,0,1
DevSync Backend,com.devsync.config,OAuth2Config,171,73,21,3,34,16,15,5,3,5
DevSync Backend,com.devsync.user.entity,User.Role,0,15,0,0,0,2,0,1,0,1
DevSync Backend,com.devsync,DevSyncApplication,5,3,0,0,2,1,1,1,1,1
DevSync Backend,com.devsync.common,BaseEntity,0,3,0,0,0,1,0,1,0,1
DevSync Backend,com.devsync.common,ApiResponse,20,11,0,0,11,6,2,1,2,1
DevSync Backend,com.devsync.common,ResourceNotFoundException,0,6,0,0,0,2,0,1,0,1
DevSync Backend,com.devsync.common,GlobalExceptionHandler,48,83,0,2,18,32,3,6,3,5
DevSync Backend,com.devsync.report,ReportReason,0,45,0,0,0,8,0,1,0,1
DevSync Backend,com.devsync.report,ReportAdminController,0,48,0,0,0,7,0,5,0,5
DevSync Backend,com.devsync.report,ReportService,23,177,14,17,6,40,14,10,0,5
DevSync Backend,com.devsync.report,ReportAdminService,354,1141,75,103,52,221,76,79,11,40
DevSync Backend,com.devsync.report,ReportEntityType,0,33,0,0,0,6,0,1,0,1
DevSync Backend,com.devsync.report,ReportStatus,0,27,0,0,0,5,0,1,0,1
DevSync Backend,com.devsync.report,ModerationAction,0,81,0,0,0,14,0,1,0,1
DevSync Backend,com.devsync.report,ReportController,0,12,0,0,0,2,0,1,0,1
DevSync Backend,com.devsync.attachment.entity,AttachmentContext,0,27,0,0,0,2,0,1,0,1
DevSync Backend,com.devsync.search,SearchController,26,0,0,0,4,0,3,0,3,0
DevSync Backend,com.devsync.search,SearchService,211,229,26,20,28,41,30,7,8,6
DevSync Backend,com.devsync.controller,HealthController,0,13,0,0,0,3,0,2,0,2
DevSync Backend,com.devsync.attachment,AttachmentController,18,0,0,0,3,0,2,0,2,0
DevSync Backend,com.devsync.attachment,AttachmentService,244,625,50,63,39,100,50,30,9,11
DevSync Backend,com.devsync.attachment,FileStorageService,92,20,10,0,19,5,8,2,3,2
